18:24:54.955 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
18:24:54.982 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 3ms
18:24:56.073 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000]]
18:24:56.074 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:25:01.383 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:25:01.384 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:25:01.546 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:25:01.547 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:25:09.622 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:25:09.626 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 3ms
18:25:09.680 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:25:09.681 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:25:19.454 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:25:19.455 [btpool0-4] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:32:50.262 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
18:32:50.268 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 2ms
18:32:51.252 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000]]
18:32:51.253 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:32:56.605 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:32:56.606 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:32:56.667 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:32:56.668 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:33:04.895 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:33:04.897 [btpool0-14] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
